date;hour;track_name_clean;artist_name_clean;artists;track_name;danceability;energy;liveness;valence;main_artist_clean
2022-06-01;18;wildest dreams (taylor's version);taylor swift;Taylor Swift;Wildest Dreams (Taylor's Version);0.581;0.672;0.118;0.514;taylor swift
2022-06-01;18;someone to stay;vancouver sleep clinic;Vancouver Sleep Clinic;Someone To Stay;0.436;0.473;0.103;0.242;vancouver sleep clinic
2022-06-01;18;when i was your man;bruno mars;Bruno Mars;When I Was Your Man;0.615;0.28;0.0877;0.387;bruno mars
2022-06-01;18;unstoppable;sia;Sia;Unstoppable;0.468;0.779;0.101;0.26;sia
2022-06-01;18;unstoppable;sia;Sia;Unstoppable;0.468;0.779;0.101;0.26;sia
2022-06-01;18;the real slim shady;eminem;Eminem;The Real Slim Shady;0.949;0.661;0.0454;0.76;eminem
2022-06-02;7;mamma mia;abba;ABBA;Mamma Mia;0.739;0.806;0.442;0.807;abba
2022-06-02;7;no role modelz;j. cole;J. Cole;No Role Modelz;0.69;0.521;0.0534;0.494;j. cole
2022-06-02;7;only love can hurt like this;paloma faith;Paloma Faith;Only Love Can Hurt Like This;0.566;0.885;0.334;0.304;paloma faith
2022-06-02;7;only love can hurt like this;paloma faith;Paloma Faith;Only Love Can Hurt Like This;0.566;0.885;0.334;0.304;paloma faith
2022-06-02;7;only love can hurt like this;paloma faith;Paloma Faith;Only Love Can Hurt Like This;0.566;0.885;0.334;0.304;paloma faith
2022-06-02;7;only love can hurt like this;paloma faith;Paloma Faith;Only Love Can Hurt Like This;0.566;0.885;0.334;0.304;paloma faith
2022-06-02;7;only love can hurt like this;paloma faith;Paloma Faith;Only Love Can Hurt Like This;0.566;0.885;0.334;0.304;paloma faith
2022-06-02;7;only love can hurt like this;paloma faith;Paloma Faith;Only Love Can Hurt Like This;0.566;0.885;0.334;0.304;paloma faith
2022-06-02;7;only love can hurt like this;paloma faith;Paloma Faith;Only Love Can Hurt Like This;0.566;0.885;0.334;0.304;paloma faith
2022-06-02;15;mamma mia;abba;ABBA;Mamma Mia;0.739;0.806;0.442;0.807;abba
2022-06-02;15;the real slim shady;eminem;Eminem;The Real Slim Shady;0.949;0.661;0.0454;0.76;eminem
2022-06-02;15;without me;eminem;Eminem;Without Me;0.908;0.669;0.237;0.662;eminem
2022-06-02;15;as it was;harry styles;Harry Styles;As It Was;0.52;0.731;0.311;0.662;harry styles
2022-06-02;15;i like me better;lauv;Lauv;I Like Me Better;0.752;0.505;0.104;0.419;lauv
2022-06-02;15;as it was;harry styles;Harry Styles;As It Was;0.52;0.731;0.311;0.662;harry styles
2022-06-02;15;what a time (feat. niall horan);julia michaels;"Julia Michaels;Niall Horan";What A Time (feat. Niall Horan);0.516;0.467;0.0853;0.386;julia michaels
